inspection_id,dba_name,address,raw_license,resolved_license,fix_status,candidate_licenses
233862,Chicago Seventh Day Adventist,7008 S MICHIGAN AVE,0,9076,recovered_name_addr,9076
233830,PONCE PASEO BROROQUA GROCERY STORE,2706 W DIVERSEY AVE,0,,unresolved,
233658,MIDWEST BUDDHIST TEMPLE,435 W MENOMONEE,0,,unresolved,
233663,ST. GEORGE GREEK ORTHODOX CHURCH,2701 N SHEFFIELD AVE,0,,unresolved,
233577,ROSELAND CHRISTIAN MINISTRIES CENTER,10858 S MICHIGAN AVE,0,,unresolved,
74431,MICHAEL'S FRESH MARKET,1300 E 47TH ST BLDG,0,,unresolved,
70427,ST PASCAL CHURCH,3935 N MELVINA AVE,0,,unresolved,
52247,PEOPLES CHURCH OF CHICAGO,941 W LAWRENCE AVE,0,,unresolved,
120440,PACIFIC GARDEN MISSION,1458 S CANAL ST,0,,unresolved,
154349,CHURCH OF THE THREE CROSSES,333 W WISCONSIN ST,0,,unresolved,
52244,PEOPLES CHURCH OF CHICAGO,941 W LAWRENCE AVE,0,,unresolved,
68389,"TRIPLE A SERVICES, INC.",2637 S THROOP ST,0,,ambiguous,1224437;1224442;1224447;1224451;1335848;1335850;1679576;1679615;1679617;1679620;1680906;1680912;1802529;1802536;2009175;2009180;2009183;2009184;2009190;2009192;2009193;2009196;2009198;2009217;2009219;2009243;2009244;2009245;2009247;2009249;2009286;2009400;2009401;2009402;2009404;2009408;2009410;2009412;2009420;2009421;2009422;4528;4581;4587;4598;4600;4601
60405,CASA CENTRAL LA POSADA,,0,,unresolved,
58405,SOCIAL CLUB,1105 N CALIFORNIA AVE,0,,unresolved,
58385,SOCIAL CLUB,1105 N CALIFORNIA AVE,0,,unresolved,
120396,Pizza Hut,1531 W Taylor ST,0,,unresolved,
58356,SOCIAL CLUB,1105 N CALIFORNIA AVE,0,,unresolved,
58348,UNIVERSITY OF AESTHETICS/TOUCH CLINIC,1357 N MILWAUKEE AVE,0,,unresolved,
176500,Oasis Social Club,705 W 79th ST,0,,unresolved,
68320,TACOS REYNA,3522 E 100TH ST,0,,unresolved,
120331,Unlicensed Facility,324 N LEAVITT ST,0,,unresolved,
68074,BY THE HAND CLUB FOR KIDS,13015 S ELLIS ST,0,,unresolved,
120273,"QuiteFrankly,Ltd.",1400 S JEFFERSON ST,0,,unresolved,
